o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,output
0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,0.56
0,0,0,0,0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,0.53
0,0,0,0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,0.45
0,0,0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,0.65
0,0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,0.56
0,0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,0.64
0,0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,0.43
0,0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,0.5700000000000001
0,0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,0.24
0,0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,21,0.41
0,0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,21,20,0.44
0,0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,21,20,2,0.39
0,17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,21,20,2,5,0.45
17,6,22,14,10,19,27,8,3,16,15,7,1,24,30,25,28,12,11,13,23,26,18,29,4,21,20,2,5,9,0.31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,0.43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,0.43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,0.51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,0.53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,0.56
0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,0.54
0,0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,0.45
0,0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,0.56
0,0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,0.51
0,0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,0.49
0,0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,0.55
0,0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,0.59
0,0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,0.46
0,0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,0.52
0,0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,21,0.44
0,0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,21,25,0.48
0,0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,21,25,1,0.46
0,16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,21,25,1,22,0.45999999999999996
16,30,26,4,9,15,20,3,10,7,18,24,5,19,12,13,8,17,11,6,14,23,28,27,29,21,25,1,22,2,0.33999999999999997
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,0.44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,0.54
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,0.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,0.42000000000000004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,0.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,0.44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,0.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,0.38
0,0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,0.53
0,0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,0.35
0,0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,0.58
0,0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,0.43
0,0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,0.48
0,0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,0.52
0,0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,0.48
0,0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,0.44
0,0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,0.47
0,0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,20,0.43
0,0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,20,18,0.42
0,0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,20,18,6,0.48
0,25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,20,18,6,23,0.52
25,17,5,11,12,8,16,15,13,4,27,7,21,9,3,30,19,2,26,10,14,28,1,22,24,20,18,6,23,29,0.5900000000000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,11,0.5
